# Reciprocal-tariff partner schedule, read by fiscal_model/trade.py's
# create_reciprocal_tariffs(). Lane H8 of planning/HIGH_STAKES_ACCURACY.md.
#
# This file replaces TRADE_BASELINE["reciprocal_coverage_rate"] = 0.50 - "a
# flat 20pp on half of goods imports", the one number left in TRADE_BASELINE
# that was a shape assumption rather than a measurement, and a policy nobody
# proposed. Executive Order 14257 (2 April 2025; 90 FR 15041) set a rate per
# partner by a stated formula, and this is that formula applied to the Census
# series the rest of the trade module already reads.
#
#   rate_i = max(10%, (goods imports from i - goods exports to i) / imports_i / 2)
#
# Annex II exempts the sectors already under, or announced for, Section 232:
# steel, aluminium and their derivative articles (HS 72, 73, 76), autos and
# parts (HS 87), copper (HS 74), pharmaceuticals (HS 30), lumber (HS 44),
# energy (HS 27), semiconductors (HS 8541-8542) and bullion (HS 7106, 7108,
# 7118). Those are removed partner by partner, because the exemptions are
# sectoral and the sectors are not evenly spread across partners - Ireland's
# pharmaceutical share and Japan's vehicle share carve out half of each of
# those partners' trade and almost none of Cambodia's.
#
# Canada and Mexico are absent: they were never in Annex I, having been
# covered by a separate IEEPA order.
#
# Nothing here is fitted. The rows marked role=external_check are the
# published Annex I rates, transcribed from the Federal Register notice; the
# module never reads them, and they exist so that a reconstruction that drifts
# from the document is visible. The reconstruction reproduces all sixteen
# within about a point, the residual being that Annex I rounds up.
#
# Rebuild with: CENSUS_API_KEY=... python scripts/build_reciprocal_schedule.py
#
# Columns
#   cty_code    Census CTY_CODE; REMAINDER aggregates partners below
#               $0.25B of covered trade
#   role        model_input    = read by trade.py
#               external_check = a published quantity the reconstruction is
#                                compared against, never an input to it
cty_code,partner,imports_2024_billions,exports_2024_billions,annex2_exempt_imports_billions,covered_imports_billions,reciprocal_rate,role,source,page,url,published
4120,United Kingdom,68.2184,79.5076,24.1284,44.09,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
4419,Switzerland,63.4186,24.9262,21.4433,41.9753,0.303479,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
5570,Malaysia,52.1634,27.6821,14.3046,37.8588,0.23466,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
5600,Indonesia,27.7458,10.1295,1.9945,25.7514,0.31746,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
5590,Singapore,43.2592,45.0414,17.9462,25.313,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
3510,Brazil,42.3139,49.0129,17.0188,25.2952,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
4210,Netherlands,33.9827,88.0532,12.56,21.4228,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
4700,Spain,21.2431,24.6691,5.0833,16.1598,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
5081,Israel,22.2053,14.7725,7.0636,15.1417,0.167367,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
4890,Turkey,16.7073,15.4717,3.7332,12.9741,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
5650,Philippines,14.1546,9.2449,1.2516,12.903,0.17343,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
6021,Australia,16.6392,34.5856,4.0761,12.5631,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
4231,Belgium,27.7782,34.2647,15.5264,12.2519,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
4550,Poland,13.6453,12.1447,1.5325,12.1128,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
4330,Austria,19.1809,4.4667,7.6583,11.5226,0.383563,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
5550,Cambodia,12.6449,0.3182,2.0143,10.6306,0.487417,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
7910,South Africa,14.6845,5.824,4.149,10.5356,0.301697,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
2230,Costa Rica,11.6326,9.632,1.4346,10.198,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
4010,Sweden,18.0065,8.1771,8.2937,9.7129,0.27294,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
3370,Chile,16.413,18.37,8.0035,8.4095,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
5380,Bangladesh,8.3576,2.2716,0.0295,8.3282,0.364102,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
3330,Peru,9.3573,11.1156,1.5534,7.8039,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
3010,Colombia,17.8568,18.6141,10.4089,7.4479,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
4351,Czech Republic,8.0595,4.2796,0.9025,7.157,0.234502,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
2470,Dominican Republic,7.4814,13.0172,0.4193,7.0621,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
4099,Denmark,10.0336,5.9057,3.4586,6.5751,0.205704,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
4370,Hungary,12.7092,3.2625,6.6308,6.0785,0.371647,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
5820,Hong Kong,5.9472,27.8531,0.1398,5.8073,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
2150,Honduras,5.5206,7.0465,0.3188,5.2018,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
6141,New Zealand,5.6116,4.4878,0.4332,5.1784,0.100136,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
4050,Finland,8.1442,2.5466,3.0742,5.0699,0.343654,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
5350,Pakistan,5.1179,2.1078,0.0777,5.0402,0.294073,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
2050,Guatemala,5.0156,9.5574,0.1509,4.8646,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
3310,Ecuador,8.541,7.5271,4.1549,4.3862,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
4039,Norway,6.6003,4.5591,2.2875,4.3128,0.154627,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
2190,Nicaragua,4.5976,2.7044,0.5887,4.0089,0.205891,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
3570,Argentina,7.1043,9.0971,3.28,3.8243,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
5200,United Arab Emirates,7.4007,27.0251,3.6565,3.7442,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
4710,Portugal,6.7825,2.9617,3.1365,3.646,0.281663,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
5110,Jordan,3.3537,2.0352,0.1002,3.2535,0.196579,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
4850,Romania,3.9032,1.2613,0.9224,2.9808,0.338421,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
5420,Sri Lanka,3.0144,0.3666,0.0645,2.9499,0.439191,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
4621,Russia,3.0078,0.5283,0.0879,2.9199,0.41217,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
7290,Egypt,2.5453,6.4112,0.1885,2.3568,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
2110,El Salvador,2.3079,4.5167,0.0425,2.2654,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
5170,Saudi Arabia,12.8545,13.1465,10.6105,2.244,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
4840,Greece,2.2422,2.5054,0.4493,1.7929,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
4359,Slovakia,8.1819,0.5544,6.4511,1.7308,0.466123,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
7140,Morocco,1.9026,5.3719,0.371,1.5316,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
4510,Lithuania,2.0293,1.9768,0.7018,1.3276,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
2360,Bahamas,1.7923,5.4298,0.6027,1.1896,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
3550,Uruguay,1.2302,1.6186,0.0972,1.1329,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
4870,Bulgaria,1.4872,0.4825,0.3916,1.0956,0.337781,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
7230,Tunisia,1.1223,0.5009,0.0284,1.0939,0.27684,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
7480,Cote D'Ivoire,1.0147,0.59,0.0082,1.0065,0.209278,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
4470,Estonia,1.0652,0.3738,0.0866,0.9786,0.324514,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
4792,Slovenia,6.2899,0.3348,5.36,0.9299,0.473385,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
2740,Trinidad And Tobago,3.3678,2.9474,2.4573,0.9105,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
5230,Oman,1.3257,1.9578,0.4542,0.8715,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
5180,Qatar,1.8354,3.7773,1.0703,0.7651,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
4000,Iceland,1.0724,0.9909,0.3318,0.7406,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
7790,Kenya,0.7368,0.7583,0.0037,0.733,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
7880,Madagascar,0.7312,0.0526,0.0006,0.7306,0.46405,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
4801,Serbia,0.8135,0.2096,0.0963,0.7172,0.371168,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
4634,Kazakhstan,2.3488,1.0764,1.6874,0.6614,0.270863,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
5460,Burma,0.6526,0.0757,0.0022,0.6504,0.441962,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
4791,Croatia,0.9995,0.9955,0.3513,0.6482,0.1,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
